SC2,SC3,SC4,B2b,H9New,H10,H11,H12,Z1,Z5,Z10,WEIGHT
5,1,4304,2,6,1,3.0,3.0,6,5,2,1.65
5,1,4301,4,3,1,3.0,4.0,6,6,2,1.65
5,1,4075,4,4,2,,,6,8,2,1.65
5,1,4557,4,4,1,4.0,3.0,6,8,2,2.14
5,1,4305,6,4,1,4.0,3.0,6,7,2,2.14
5,1,4223,4,2,1,1.0,1.0,4,2,2,2.14
5,1,4215,3,4,1,4.0,4.0,6,8,2,2.14
5,1,4212,5,3,2,3.0,4.0,5,3,2,2.14
5,1,4128,2,2,1,2.0,2.0,6,4,2,2.14
5,1,4105,2,2,1,3.0,3.0,6,6,2,2.14
5,1,4032,6,6,1,,,6,1,2,2.14
